player,is_rookie,yrs_exp,headshot
Bruce Brown,FALSE,3,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628971.png
Chaundee Brown,TRUE,0,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630602.png
Jaylen Brown,FALSE,5,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1627759.png
Moses Brown,FALSE,2,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629650.png
Sterling Brown,FALSE,4,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628425.png
Greg Brown III,TRUE,0,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630535.png
Charlie Brown Jr.,FALSE,2,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629718.png
Troy Brown Jr.,FALSE,3,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628972.png
Jalen Brunson,FALSE,3,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628973.png
Elijah Bryant,FALSE,1,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629091.png
Thomas Bryant,FALSE,4,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628418.png
Reggie Bullock,FALSE,8,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203493.png
Trey Burke,FALSE,8,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203504.png
Alec Burks,FALSE,10,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/202692.png
Jared Butler,TRUE,0,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630215.png
Jimmy Butler,FALSE,10,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/202710.png
Devontae Cacok,FALSE,2,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629719.png
Kentavious Caldwell-Pope,FALSE,8,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203484.png
Facundo Campazzo,FALSE,1,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630267.png
Vlatko Cancar,FALSE,2,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628427.png
Clint Capela,FALSE,7,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203991.png
Vernon Carey Jr.,FALSE,1,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630176.png
Jevon Carter,FALSE,3,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628975.png
Wendell Carter Jr.,FALSE,3,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628976.png
Michael Carter-Williams,FALSE,8,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203487.png
D.J. Carton,TRUE,0,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630618.png
Alex Caruso,FALSE,4,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1627936.png
Willie Cauley-Stein,FALSE,6,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1626161.png
Justin Champagnie,TRUE,0,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630551.png
Chris Chiozza,FALSE,3,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629185.png
Marquese Chriss,FALSE,5,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1627737.png
Josh Christopher,TRUE,0,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630528.png
Gary Clark,FALSE,3,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629109.png
Brandon Clarke,FALSE,2,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629634.png
Jordan Clarkson,FALSE,7,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203903.png
Nicolas Claxton,FALSE,2,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629651.png
Amir Coffey,FALSE,2,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629599.png
John Collins,FALSE,4,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628381.png
Zach Collins,FALSE,4,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628380.png
Mike Conley,FALSE,14,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201144.png
Pat Connaughton,FALSE,6,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1626192.png
Quinn Cook,FALSE,5,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1626188.png
Tyler Cook,FALSE,2,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629076.png
Sharife Cooper,TRUE,0,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630536.png
Petr Cornelie,TRUE,0,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1627822.png
